grid_id,district,elevation_mean,slope_mean,builtup_percent,vegetation_percent,water_percent,cropland_percent,bare_percent,elevation_susceptibility,slope_susceptibility,builtup_susceptibility,bare_susceptibility,vegetation_protection,susceptibility_raw,susceptibility_score,susceptibility_category,dominant_driver,latitude,longitude,historical_flooded_area_percent,historical_mean_flood_duration,population,historical_flood_days_2015_2023,vulnerability_score,date,rainfall_24h,rainfall_3day,rainfall_7day,temporal_risk_score,flood_event,temporal_risk_index,hyperlocal_risk_score,hyperlocal_risk_category,action_priority,risk_explanation
NCR_0001,SONIPAT,223.72903008189627,1.8290790915792063,0.0,7.121661721068249,0.0,92.87833827893176,0.0,0.7217771608080426,0.4406189631229797,0.0,0.0,0.0712166172106825,0.3476820470705957,41.61024668301449,Moderate,Lower elevation,29.09134958520514,76.48087287497611,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,19.561652518547568,Very Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
NCR_0276,SONIPAT,227.97451464335123,0.5424596401517866,0.1645105810214611,2.3629701637628058,0.0,97.47251925521572,0.0,0.693302927037857,0.0810983668263315,0.0016451058102146,0.0,0.023629701637628,0.2876164874183941,33.5351872357984,Low,Lower elevation,29.230418668469543,76.62359826325923,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,16.331628739661134,Very Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
NCR_0277,SONIPAT,228.3925737931588,0.5504340636811295,1.5574691126918756,4.4627480344440285,0.007487832272557,93.94983152377388,0.0224634968176712,0.6904990270850784,0.0833266632345746,0.0155746911269187,0.0002246349681767,0.0446274803444402,0.288919501371258,33.71036108235627,Low,Lower elevation,29.23944068286402,76.6237406645677,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,16.401698278284282,Very Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
NCR_0278,SONIPAT,228.38972210183948,0.4312166975173448,0.059853359269789,1.803082448002394,0.0,98.13706419272782,0.0,0.6905181532234711,0.0500137061480265,0.0005985335926978,0.0,0.0180308244800239,0.2820857948413994,32.79165514183127,Low,Lower elevation,29.24846268444521,76.62388313092356,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,16.03421590207428,Very Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
NCR_0279,SONIPAT,229.0469116842168,0.4570292659834036,2.4815008595560206,2.608565662605576,0.0,94.61095747066298,0.2989760071754241,0.6861104184810487,0.0572265226467743,0.0248150085955602,0.0029897600717542,0.0260856566260557,0.2880135707090858,33.58857009273669,Low,Lower elevation,29.257484673210502,76.62402566235087,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,16.35298188243645,Very Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
NCR_0280,SONIPAT,229.6336692142265,0.5286082568992143,0.0,0.9498167676314412,0.0523521053025203,98.78094383366988,0.2168872933961558,0.6821750676785512,0.0772278691737635,0.0,0.0021688729339615,0.0094981676763144,0.2836128343265516,32.9969464051151,Low,Lower elevation,29.26650664915714,76.62416825887374,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,16.116332407387812,Very Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
NCR_0281,SONIPAT,229.66633326313885,0.8816176414215173,0.0,6.277251541121635,0.0,92.06134415877312,1.6614043001052472,0.6819559916811833,0.1758694249818684,0.0,0.0166140430010524,0.0627725154112163,0.2937162610286846,34.35522512111676,Low,Lower elevation,29.27550865684456,76.62428814527398,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,16.659643893788477,Very Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
NCR_0282,SONIPAT,229.75994235550297,0.562974163700106,0.4084014002333722,0.2625437572928821,0.0,99.32905484247374,0.0,0.6813281605960839,0.0868307484801694,0.0040840140023337,0.0,0.0026254375729288,0.2865185369538662,33.38758159751752,Low,Lower elevation,29.281891792663934,76.62216500775108,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,16.27258648434878,Very Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
NCR_0283,SONIPAT,222.46789142697355,3.212323379507938,0.0,0.0,0.0,100.0,0.0,0.7302355490926016,0.8271394767591936,0.0,0.0,0.0,0.4161651411509197,50.81693782232928,Moderate,Slope/runoff,29.054084175445755,76.63201830332882,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,23.244328974273486,Low,Routine Monitoring,Slope/runoff; Elevated 24-hour rainfall
NCR_0284,SONIPAT,222.3977212609523,0.6746196806395567,0.1577879630325343,5.041701104515741,0.0,94.80051093245172,0.0,0.730706176575062,0.1180279006601612,0.0015778796303253,0.0,0.0504170110451574,0.3054183185136309,35.928419650441654,Low,Lower elevation,29.058878049806548,76.63117224035045,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,17.288921705518433,Very Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
NCR_0285,SONIPAT,222.5813394115244,0.9607534297758592,6.046755582196913,16.649183275887907,0.3521654428293121,76.53229432039562,0.4196013786902443,0.7294746596379125,0.1979823704887888,0.0604675558219691,0.0041960137869024,0.166491832758879,0.3231881035885312,38.31734388048192,Low,Lower elevation,29.067895776409102,76.63131565614697,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,18.244491397534542,Very Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
